id,corrected_output,aspect_category,ac_polarity
33070600#670328#2,Food हमेशा fresh और hot - खाने के लिए तैयार है।,['food'],['positive']
35390182#756337#5,Rose roll को आज़माएँ (menu में नहीं है)।,['food'],['positive']
11447227#436718#3,"मुझे drinks पसंद है, विशेषकर lychee martini, और food भी बहुत अच्छा है।",['food'],['positive']
11359717#1138929#1,हमारा waiter horrible था; बहुत rude और disinterested था।,['service'],['negative']
11351513#832512#0,शानदार food लेकिन service भयानक था। ,"['food', 'service']","['positive', 'negative']"
35196527#481646#2,Desserts हमेशा incredible होता है: मेरा खुद का पसंदीदा वहाँ का Tart of the Day है।,['food'],['positive']
35668126#536759#2,"Food बहुत ही tasty था, creatively present किया गया था और wine शानदार था।",['food'],['positive']
33070286#1133164#4,हम अपने CHOICE के साथ PLEASANTLY SURPRISED थे।,['anecdotes/miscellaneous'],['positive']
33070286#1133164#6,LASAGNA जो PROBABLY हमने TASTE किया था बहुत ही अच्छा था।,['food'],['positive']
32894336#662479#0,Harumi Sushi सबसे ताज़ा और sushi का NYC में सबसे स्वादिष्ट array of sushi रहा है।,['food'],['positive']
32894336#662479#1,मैं बस ना केवल इसके superb cuisine को highly recommend करता हूँ बल्कि इसके friendly owners और staff को भी करता हूँ।,"['food', 'service']","['positive', 'positive']"
32892130#435512#0,"यदि आप serious indian food के लिए तरस रहें हैं और एक cozy ambiance की इच्छा करते हैं, यह बहुत ही exquisite choice है।","['food', 'ambience']","['positive', 'positive']"
32892130#435512#4,मैंने food को भी definitely enjoy किया है।,['food'],['positive']
32894791#1611374#0,हमेशा यहाँ great time बिताया है।,['anecdotes/miscellaneous'],['positive']
33085669#409731#13,आप experience करके बहुत खुश होंगे।,['anecdotes/miscellaneous'],['positive']
11351354#412616#0,"Food surprisingly अच्छा है, और decor अच्छा है।","['food', 'ambience']","['positive', 'positive']"
35714274#1076679#5,Two wasted steaks -- कितना बड़ा crime है!,['food'],['negative']
35720486#684689#4,Staff को थोड़ा और friendly होना चाहिए था।,['service'],['negative']
33064346#1483297#0,मेरे हिसाब से meatball parm अच्छा है।,['food'],['positive']
13383936#420974#4,बिलकुल taglierini with truffles को आज़माएँ - यह शानदार था।,['food'],['positive']
13383936#420974#5,जबकि staff बहुत attentive और really personable है।,['service'],['positive']
13383936#420974#6,"कुलमिलाकर, यह एक great new restaurant है जो हर time बहुत अच्छा रहा है।",['anecdotes/miscellaneous'],['positive']
32938222#1552119#2,"Food अच्छा है, और teriyaki को मैं recommend करता हूँ।",['food'],['positive']
11546184#1465600#0,Meal जो आपको मिला बहुत expensive था।,"['food', 'price']","['negative', 'negative']"
32895093#418997#3,Peanut Butter Sorbet और pizza with soy cheese को भी आज़माएँ!,['food'],['positive']
32406302#615620#2,"सही price पर good food, आपको और क्या चाहिए।","['food', 'price']","['positive', 'positive']"
35390182#756337#1,"हमे यह पसंद है, और वहाँ जाने के लिए buses और cabs मिलता है।",['anecdotes/miscellaneous'],['positive']
11302356#1455624#2,"यदि आप New York में हैं, आपको यह place miss नहीं करना चाहिए।",['anecdotes/miscellaneous'],['positive']
11302356#1455624#1,"Food शानदार है, service attentive, और atmosphere कमाल का है।","['food', 'service', 'ambience']","['positive', 'positive', 'positive']"
35698351#821341#0,यह अभी भी उस area में मेरा most favorite restaurants है food expensive है लेकिन बहुत अच्छा है (kimono shrimp special शानदार था) और एक great atmosphere रहा है।,"['food', 'price', 'ambience']","['positive', 'positive', 'positive']"
33070305#1312437#6,सभी experience satisfy करने वाले थे,['anecdotes/miscellaneous'],['positive']
33070305#1312437#1,"जबकि, यह visit के लिए worth था।",['anecdotes/miscellaneous'],['positive']
33070305#1312437#2,Menu मज़ेदार और बिलकुल सही से priced हैं।,"['food', 'price']","['positive', 'positive']"
11464789#378665#0,Appetizer यहाँ शानदार है; आप इसमें से उसे meal out करके great (और inexpensive) बना सकते हैं।,"['food', 'price']","['positive', 'positive']"
11351587#1488758#8,हमने जो amount paid किया है वो return नहीं होगा।,['price'],['negative']
11351587#1488758#2,"जबकि, foodies होकर भी, हम food को लेकर utterly disappointed थे।",['food'],['negative']
11359656#1716239#1,"बहुत बड़ा portions, शानदार और attentive service, और बहुत अच्छा prices है।","['food', 'service', 'price']","['positive', 'positive', 'positive']"
11359797#469087#7,मैं उनके service और food से बहुत अधिक disappointed था।,"['service', 'food']","['negative', 'negative']"
32938828#1194079#1,Food शानदार था और milkshakes जबकि better है!,['food'],['positive']
11349445#757796#1,Mushroom barley soup शानदार है।,['food'],['positive']
11602699#875811#0,"एक friend के recommendation पर, मैं अपनी wife के साथ Arezzo में गया।",['anecdotes/miscellaneous'],['neutral']
11351762#644011#1,"जबकि यह बड़ा और थोड़ा noisy था, drinks शानदार थे, और food कमाल का था।","['ambience', 'food']","['negative', 'positive']"
35158451#1089920#3,मैं impressed नहीं था और यह SPICEY नहीं था। ,['food'],['negative']
33070461#1496736#1,Food लगभग हमेशा EXCELLENT था।,['food'],['positive']
32882616#562969#4,मैं taste के लिए pleasently surprised था।,['food'],['positive']
35171678#484493#3,"उन्होने वाकई एक relaxing, laid-back atmosphere प्रदान किया। ",['ambience'],['positive']
32895093#418997#0,मैं subway से home के way में इस resteraunt के पास ठोकर खाया।,['anecdotes/miscellaneous'],['neutral']
11546184#1465600#4,Management accommodating के लिए बहुत कम था।,['service'],['negative']
13383936#420974#2,Ambience भी बहुत अधिक laid-back और relaxed था।,['ambience'],['positive']
35692932#1064131#3,Teas शानदार है और सभी sweets homemade हैं।,['food'],['positive']
11488685#420977#1,Mojitos और service वहाँ का सबसे अच्छा part है।,"['food', 'service']","['positive', 'positive']"
35820984#608922#0,यह restaurant बिलकुल beautiful है।,['anecdotes/miscellaneous'],['positive']
35820984#608922#1,Design बहुत ही intimate और romantic है।,['ambience'],['positive']
35820984#608922#2,Food शानदार और imaginative है।,['food'],['positive']
35820984#608922#3,Staff बहुत sharp और वे अच्छे भी दिखते हैं। ,['service'],['positive']
36245348#821441#2,सबसे worst हालांकि taste था।,['food'],['negative']
36245348#821441#3,"वे dry, stale और थोड़ा flavorless था।",['food'],['negative']
11432442#650772#5,जो fajita हमने आज़माया था tasteless और burned था और mole sauce बहुत मीठी थी ।,['food'],['negative']
32944693#1193404#4,"Atmosphere गर्म है, आरामदायक, artsy और sexy है।",['ambience'],['positive']
32944693#1193404#1,"Food शानदार (बड़े selection, सही prices) और drinks वाकई अच्छे हैं।","['food', 'price']","['positive', 'positive']"
35693214#539116#1,Steak मेरे mouth में melt हो गया।,['food'],['positive']
35938288#666236#2,"सबसे important, यह reasonably priced था।",['price'],['positive']
35393632#1591698#7,"केवल suggestion यह है कि आप dessert को skip करें, यह overpriced और taste के लिए कम था।","['food', 'price']","['negative', 'negative']"
15087705#871249#1,"Food decent, लेकिन शानदार नहीं था।",['food'],['positive']
11349871#518230#0,मुझे नहीं पता है कि यह restaurant इतना overlooked क्यों है।,['anecdotes/miscellaneous'],['positive']
11349871#518230#1,"जिस moment आप walk in करते हैं, आपको लगता है कि आप एक perfect place पर हैं।",['anecdotes/miscellaneous'],['positive']
11351628#404492#6,Waiters हमेशा angry दिखाई पड़ते हैं और यहां तक कि अपने high-tipping regulards को भी ignore कर देते हैं। ,['service'],['negative']
33069901#1437116#3,"मैं कह सकता हूँ कि wraps, burgers और salads सभी fresh, tasty थे साथ ही $9 में mango margareta भी money के लिए worth था।","['food', 'price']","['positive', 'positive']"
33069901#1437116#4,यह delicious और large था!,['food'],['positive']
35709337#1579632#6,"और कहीं भी, prices 3x से ज्यादा high होगा।",['price'],['positive']
33069901#1437116#1,जो service हमने experience किया था वो friendly और अच्छा था।,['service'],['positive']
11351725#582163#9,हमारे waiters friendly थे और यह shame की बात है कि उनके साथ work के लिए supportive staff नहीं है।,['service'],['conflict']
11351725#582163#7,Folding chair जिसपर मैं बैठा था uncomfortable था।,['ambience'],['negative']
11432842#416795#5,Midtown में शानदार choice है।,['anecdotes/miscellaneous'],['positive']
11432842#416795#1,अब तक जो Service मैंने NYC में पाया उसमें यह best थी।,['service'],['positive']
11432842#416795#2,Fettucino alfredo शानदार था।,['food'],['positive']
33067279#1612676#1,Food बहुत ही अच्छा था और मैं इतने सारे vegan options देखकर pleasantly surprised था।,['food'],['positive']
32930165#1643018#3,मैं real Indian food जनता हूँ और यह इतना ही नहीं है।,['food'],['negative']
32926987#668438#1,"Waiters बहुत professional, corteous और attentive थे।",['service'],['positive']
32935729#785247#5,Falafal शायद over cooked और dried था लेकिन chicken अच्छा था।,['food'],['conflict']
